Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Diana Taurasi,6,PHO,817,0,SEA,1,78,65,28,0,3,0,3,2,4,0,3,3,3,0,1,1,3,2,3,,
Seimone Augustus,7,MIN,516,0,WAS,1,89,77,35,11,20,0,2,2,2,1,2,3,3,0,0,1,0,24,20,,
Seimone Augustus,7,MIN,518,1,CON,1,90,87,42,9,14,0,0,0,0,0,1,1,2,0,1,5,0,18,12,,
Seimone Augustus,7,MIN,523,0,TUL,1,94,93,34,11,21,1,1,0,0,1,2,3,2,0,0,1,2,23,17,,
Seimone Augustus,7,MIN,524,1,NYL,1,87,82,27,8,16,0,0,2,2,1,1,2,0,2,0,2,1,18,12,,
Seimone Augustus,7,MIN,526,0,CHI,1,75,72,35,7,16,0,3,3,3,0,6,6,3,0,0,2,2,17,15,,
Seimone Augustus,7,MIN,530,1,SAN,1,88,72,33,7,11,0,1,0,0,0,2,2,3,1,0,2,0,14,14,,
Seimone Augustus,7,MIN,601,0,SAN,1,87,79,33,12,19,0,3,1,1,1,2,3,2,0,0,1,1,25,22,,
Seimone Augustus,7,MIN,606,0,SEA,0,62,65,34,5,12,0,2,2,2,0,4,4,0,0,0,3,1,12,6,,
Seimone Augustus,7,MIN,608,0,LAS,1,85,72,35,9,16,2,4,6,9,0,5,5,1,1,0,3,2,26,20,,
Seimone Augustus,7,MIN,613,0,ATL,0,82,85,34,6,14,1,3,4,4,0,4,4,6,0,0,1,2,17,18,,
Seimone Augustus,7,MIN,615,1,PHO,0,72,80,23,5,11,0,0,0,0,1,1,2,1,0,0,1,1,10,6,,
Seimone Augustus,7,MIN,617,0,LAS,1,94,77,23,6,10,1,2,1,2,1,2,3,1,0,0,0,0,14,13,,
